,Feature,Importance
0,hbond_sr_bb,0.30529175126663516
1,ref,0.2809316125065612
2,hbonds_int,0.27001904084481343
3,lk_ball_wtd,0.2264540453687027
4,pro_close,0.2264336278009027
5,fa_sol,0.220025398702722
6,total_score,0.21804277264957653
7,fa_elec,0.21284193261105305
8,fa_atr,0.20915846248023418
9,omega,0.20142914748909435
10,rama_prepro,0.20074790701125494
11,dG_cross/dSASAx100,0.19964458221714837
12,hbond_sc,0.19925553473634097
13,nres_all,0.1956281789582605
14,dG_cross,0.19455035829042494
15,hbond_lr_bb,0.189429838762536
16,fa_intra_rep,0.1862620097002201
17,side1_normalized,0.18561507567889873
18,hbond_bb_sc,0.18021168472709712
19,dG_separated,0.17141648543348195
20,ddg,0.16888605644723229
21,complex_normalized,0.16744275907492207
22,delta_unsatHbonds,0.16724558691537522
23,fa_intra_sol_xover4,0.16443969929770524
24,sc_value,0.16113663133971828
25,hbond_E_fraction,0.15693969392103277
26,Sc_int_area,0.15611224738694554
27,dG_separated/dSASAx100,0.1539080434616293
28,per_residue_energy_int,0.15106559377306444
29,dslf_fa13,0.15083837759585497
30,p_aa_pp,0.14211720544300877
31,Sc,0.1318905510868854
32,nres_int,0.1291703028886236
33,fa_dun,0.1256729219798464
34,side2_score,0.11549080154546186
35,dSASA_int,0.11160407685761188
36,dSASA_polar,0.10280673501697225
37,dSASA_hphobic,0.09851672344491429
38,fa_rep,0.08300749193099648
39,side2_normalized,0.06183321581438754
40,side1_score,0.04457480079608699
